Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date,Host_Country,Innings_Team1,Innings_Team2
ODI # 1515,Sri Lanka,West Indies,Sri Lanka,9 wickets,Sharjah,17-Oct-99,U.A.E.,First,Second
ODI # 1516,Pakistan,Sri Lanka,Pakistan,118 runs,Sharjah,18-Oct-99,West Indies,First,Second
ODI # 1517,Pakistan,West Indies,Pakistan,138 runs,Sharjah,19-Oct-99,West Indies,First,Second
ODI # 1518,Zimbabwe,Australia,Australia,83 runs,Bulawayo,21-Oct-99,West Indies,Second,First
ODI # 1519,Pakistan,Sri Lanka,Pakistan,88 runs,Sharjah,22-Oct-99,South Africa,Second,First
ODI # 1520,Zimbabwe,Australia,Australia,9 wickets,Harare,23-Oct-99,West Indies,First,Second
ODI # 1521,Zimbabwe,Australia,Australia,9 wickets,Harare,24-Oct-99,South Africa,First,Second
ODI # 1522,India,New Zealand,New Zealand,43 runs,Rajkot,5-Nov-99,West Indies,Second,First
ODI # 1523,India,New Zealand,India,174 runs,Hyderabad (Deccan),8-Nov-99,South Africa,Second,First
ODI # 1524,India,New Zealand,India,14 runs,Gwalior,11-Nov-99,West Indies,First,Second
ODI # 1525,India,New Zealand,New Zealand,48 runs,Guwahati,14-Nov-99,West Indies,Second,First
ODI # 1526,India,New Zealand,India,7 wickets,Delhi,17-Nov-99,West Indies,First,Second
ODI # 1527,Zimbabwe,Sri Lanka,no result,,Bulawayo,11-Dec-99,West Indies,First,Second
ODI # 1528,Zimbabwe,Sri Lanka,Sri Lanka,13 runs,Bulawayo,12-Dec-99,Bangladesh,First,Second
ODI # 1529,Zimbabwe,Sri Lanka,Sri Lanka,98 runs,Harare,15-Dec-99,Bangladesh,First,Second
ODI # 1530,Zimbabwe,Sri Lanka,Sri Lanka,6 wickets,Harare,18-Dec-99,Bangladesh,Second,First
ODI # 1531,Zimbabwe,Sri Lanka,Zimbabwe,6 wickets,Harare,19-Dec-99,Bangladesh,Second,First
ODI # 1532,New Zealand,West Indies,New Zealand,3 wickets,Auckland,2-Jan-00,Bangladesh,Second,First
ODI # 1533,New Zealand,West Indies,New Zealand,7 wickets,Taupo,4-Jan-00,Bangladesh,Second,First
ODI # 1534,New Zealand,West Indies,New Zealand,4 wickets,Napier,6-Jan-00,Bangladesh,First,Second
ODI # 1535,New Zealand,West Indies,New Zealand,8 wickets,Wellington,"Jan 8-9, 2000",Sri Lanka,Second,First
ODI # 1536,Australia,Pakistan,Pakistan,45 runs,Brisbane,9-Jan-00,Sri Lanka,First,Second
ODI # 1537,India,Pakistan,Pakistan,2 wickets,Brisbane,10-Jan-00,England,First,Second
ODI # 1538,New Zealand,West Indies,New Zealand,20 runs,Christchurch,11-Jan-00,Sri Lanka,Second,First
ODI # 1539,Australia,India,Australia,28 runs,Melbourne,12-Jan-00,England,First,Second
ODI # 1540,Australia,India,Australia,5 wickets,Sydney,14-Jan-00,Sri Lanka,Second,First
ODI # 1541,Australia,Pakistan,Australia,6 wickets,Melbourne,16-Jan-00,Sri Lanka,Second,First
ODI # 1542,Australia,Pakistan,Australia,81 runs,Sydney,19-Jan-00,England,Second,First
ODI # 1543,India,Pakistan,Pakistan,32 runs,Hobart,21-Jan-00,Sri Lanka,First,Second
ODI # 1544,South Africa,Zimbabwe,South Africa,6 wickets,Johannesburg,21-Jan-00,England,Second,First
ODI # 1545,Australia,Pakistan,Australia,15 runs,Melbourne,23-Jan-00,Sri Lanka,First,Second
ODI # 1546,South Africa,England,England,9 wickets,Bloemfontein,23-Jan-00,England,Second,First
ODI # 1547,India,Pakistan,India,48 runs,Adelaide,25-Jan-00,England,First,Second
ODI # 1548,Australia,India,Australia,152 runs,Adelaide,26-Jan-00,England,First,Second
ODI # 1549,South Africa,England,South Africa,1 run,Cape Town,26-Jan-00,England,Second,First
ODI # 1550,India,Pakistan,Pakistan,104 runs,Perth,28-Jan-00,England,Second,First
ODI # 1551,England,Zimbabwe,Zimbabwe,104 runs,Cape Town,28-Jan-00,Australia,First,Second
ODI # 1552,Australia,India,Australia,4 wickets,Perth,30-Jan-00,Australia,Second,First
ODI # 1553,England,Zimbabwe,England,8 wickets,Kimberley,30-Jan-00,,Second,First
ODI # 1554,Australia,Pakistan,Australia,6 wickets,Melbourne,2-Feb-00,,First,Second
ODI # 1555,South Africa,Zimbabwe,Zimbabwe,2 wickets,Durban,2-Feb-00,,First,Second
ODI # 1556,Australia,Pakistan,Australia,152 runs,Sydney,4-Feb-00,,Second,First
ODI # 1557,South Africa,England,South Africa,2 wickets,East London,4-Feb-00,Zimbabwe,First,Second
ODI # 1558,South Africa,Zimbabwe,South Africa,53 runs,Port Elizabeth,6-Feb-00,Zimbabwe,First,Second
ODI # 1559,Pakistan,Sri Lanka,Sri Lanka,29 runs,Karachi,13-Feb-00,Zimbabwe,Second,First
ODI # 1560,South Africa,England,South Africa,38 runs,Johannesburg,13-Feb-00,Kenya,First,Second
ODI # 1561,Pakistan,Sri Lanka,Sri Lanka,34 runs,Gujranwala,16-Feb-00,Kenya,First,Second
ODI # 1562,Zimbabwe,England,England,5 wickets,Bulawayo,16-Feb-00,Kenya,First,Second
ODI # 1563,New Zealand,Australia,no result,,Wellington,17-Feb-00,Kenya,Second,First
ODI # 1564,Zimbabwe,England,England,1 wicket,Bulawayo,18-Feb-00,Kenya,Second,First
ODI # 1565,New Zealand,Australia,Australia,5 wickets,Auckland,19-Feb-00,Kenya,First,Second
ODI # 1566,Pakistan,Sri Lanka,Sri Lanka,104 runs,Lahore,19-Feb-00,Kenya,First,Second
ODI # 1567,Zimbabwe,England,England,85 runs,Harare,20-Feb-00,Kenya,Second,First
ODI # 1568,New Zealand,Australia,Australia,50 runs,Dunedin,23-Feb-00,Kenya,First,Second
ODI # 1569,New Zealand,Australia,Australia,48 runs,Christchurch,26-Feb-00,Kenya,First,Second
ODI # 1570,New Zealand,Australia,Australia,5 wickets,Napier,1-Mar-00,U.A.E.,First,Second
ODI # 1571,New Zealand,Australia,New Zealand,7 wickets,Auckland,3-Mar-00,U.A.E.,Second,First
ODI # 1572,India,South Africa,India,3 wickets,Kochi,9-Mar-00,South Africa,Second,First
ODI # 1573,India,South Africa,India,6 wickets,Jamshedpur,12-Mar-00,U.A.E.,First,Second
ODI # 1574,India,South Africa,South Africa,2 wickets,Faridabad,15-Mar-00,Pakistan,First,Second
ODI # 1575,India,South Africa,India,4 wickets,Vadodara,17-Mar-00,U.A.E.,First,Second
ODI # 1576,India,South Africa,South Africa,10 runs,Nagpur,19-Mar-00,South Africa,First,Second
ODI # 1577,India,South Africa,South Africa,10 wickets,Sharjah,22-Mar-00,U.A.E.,Second,First
ODI # 1578,India,Pakistan,India,5 wickets,Sharjah,23-Mar-00,Pakistan,Second,First
ODI # 1579,Pakistan,South Africa,South Africa,3 wickets,Sharjah,24-Mar-00,U.A.E.,Second,First
ODI # 1580,India,Pakistan,Pakistan,98 runs,Sharjah,26-Mar-00,South Africa,Second,First
ODI # 1581,India,South Africa,South Africa,6 wickets,Sharjah,27-Mar-00,U.A.E.,Second,First
ODI # 1582,Pakistan,South Africa,Pakistan,67 runs,Sharjah,28-Mar-00,Pakistan,Second,First
ODI # 1583,Pakistan,South Africa,Pakistan,16 runs,Sharjah,31-Mar-00,South Africa,Second,First
ODI # 1584,West Indies,Zimbabwe,West Indies,87 runs,Kingston,1-Apr-00,South Africa,Second,First
ODI # 1585,West Indies,Zimbabwe,West Indies,41 runs,Kingston,2-Apr-00,India,Second,First
ODI # 1586,Pakistan,Zimbabwe,Pakistan,5 wickets,St John's,5-Apr-00,India,First,Second
ODI # 1587,South Africa,Australia,South Africa,6 wickets,Durban,12-Apr-00,India,First,Second
ODI # 1588,West Indies,Pakistan,West Indies,96 runs,Kingstown,12-Apr-00,India,Second,First
ODI # 1589,South Africa,Australia,Australia,5 wickets,Cape Town,14-Apr-00,India,First,Second
ODI # 1590,Pakistan,Zimbabwe,Pakistan,6 wickets,St George's,15-Apr-00,South Africa,Second,First
ODI # 1591,South Africa,Australia,South Africa,4 wickets,Johannesburg,16-Apr-00,South Africa,First,Second
ODI # 1592,West Indies,Pakistan,West Indies,17 runs,St George's,16-Apr-00,New Zealand,Second,First
ODI # 1593,West Indies,Pakistan,Pakistan,17 runs,Bridgetown,19-Apr-00,New Zealand,Second,First
ODI # 1594,West Indies,Pakistan,West Indies,60 runs,Port of Spain,22-Apr-00,New Zealand,First,Second
ODI # 1595,West Indies,Pakistan,Pakistan,4 wickets,Port of Spain,23-Apr-00,South Africa,Second,First
ODI # 1596,Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,29-May-00,Australia,First,Second
ODI # 1597,Bangladesh,India,India,8 wickets,Dhaka,"May 30-31, 2000",South Africa,First,Second
ODI # 1598,India,Sri Lanka,Sri Lanka,71 runs,Dhaka,1-Jun-00,Australia,Second,First
ODI # 1599,Bangladesh,Pakistan,Pakistan,233 runs,Dhaka,2-Jun-00,Australia,Second,First
ODI # 1600,India,Pakistan,Pakistan,44 runs,Dhaka,3-Jun-00,South Africa,Second,First
ODI # 1601,Pakistan,Sri Lanka,Pakistan,7 wickets,Dhaka,5-Jun-00,Australia,First,Second
ODI # 1602,Pakistan,Sri Lanka,Pakistan,39 runs,Dhaka,7-Jun-00,South Africa,Second,First
ODI # 1603,Sri Lanka,Pakistan,Sri Lanka,5 wickets,Galle,5-Jul-00,Australia,Second,First
ODI # 1604,Sri Lanka,South Africa,Sri Lanka,37 runs,Galle,6-Jul-00,Australia,Second,First
ODI # 1605,West Indies,Zimbabwe,Zimbabwe,6 wickets,Bristol,6-Jul-00,Australia,First,Second
ODI # 1606,Pakistan,South Africa,South Africa,18 runs,Colombo (RPS),8-Jul-00,Australia,Second,First
ODI # 1607,England,Zimbabwe,Zimbabwe,5 wickets,The Oval,8-Jul-00,Australia,First,Second
ODI # 1608,Sri Lanka,Pakistan,Sri Lanka,6 wickets,Colombo (RPS),9-Jul-00,Australia,Second,First
ODI # 1609,England,West Indies,no result,,Lord's,9-Jul-00,New Zealand,Second,First
ODI # 1610,Sri Lanka,South Africa,Sri Lanka,8 wickets,Colombo (SSC),11-Jul-00,Australia,First,Second
ODI # 1611,West Indies,Zimbabwe,Zimbabwe,70 runs,Canterbury,11-Jul-00,New Zealand,First,Second
ODI # 1612,Pakistan,South Africa,South Africa,7 wickets,Colombo (SSC),12-Jul-00,Australia,First,Second
ODI # 1613,England,Zimbabwe,England,8 wickets,Manchester,13-Jul-00,New Zealand,First,Second
ODI # 1614,Sri Lanka,South Africa,Sri Lanka,30 runs,Colombo (RPS),14-Jul-00,Australia,First,Second
ODI # 1615,England,West Indies,England,10 wickets,Chester-le-Street,15-Jul-00,New Zealand,Second,First
ODI # 1616,West Indies,Zimbabwe,Zimbabwe,6 wickets,Chester-le-Street,16-Jul-00,Australia,First,Second
ODI # 1617,England,Zimbabwe,England,52 runs,Birmingham,18-Jul-00,New Zealand,First,Second
ODI # 1618,England,West Indies,West Indies,3 runs,Nottingham,20-Jul-00,New Zealand,First,Second
ODI # 1619,England,Zimbabwe,England,6 wickets,Lord's,22-Jul-00,New Zealand,Second,First
ODI # 1620,Australia,South Africa,Australia,94 runs,Melbourne (Docklands),16-Aug-00,New Zealand,Second,First
ODI # 1621,Australia,South Africa,tied,,Melbourne (Docklands),18-Aug-00,New Zealand,First,Second
ODI # 1622,Australia,South Africa,South Africa,8 runs,Melbourne (Docklands),20-Aug-00,New Zealand,Second,First
ODI # 1623,New Zealand,Pakistan,Pakistan,12 runs,Singapore,20-Aug-00,Sri Lanka,Second,First
ODI # 1624,Pakistan,South Africa,Pakistan,28 runs,Singapore,23-Aug-00,Sri Lanka,First,Second
ODI # 1625,New Zealand,South Africa,South Africa,8 wickets,Singapore,25-Aug-00,India,First,Second
ODI # 1626,Pakistan,South Africa,South Africa,93 runs,Singapore,27-Aug-00,Sri Lanka,Second,First
ODI # 1627,Zimbabwe,New Zealand,New Zealand,7 wickets,Harare,27-Sep-00,India,First,Second
ODI # 1628,Zimbabwe,New Zealand,Zimbabwe,21 runs,Bulawayo,30-Sep-00,India,First,Second
ODI # 1629,Zimbabwe,New Zealand,Zimbabwe,6 wickets,Bulawayo,1-Oct-00,India,Second,First
ODI # 1630,Kenya,India,India,8 wickets,Nairobi (Gym),3-Oct-00,India,First,Second
ODI # 1631,Sri Lanka,West Indies,Sri Lanka,108 runs,Nairobi (Gym),4-Oct-00,Zimbabwe,Second,First
ODI # 1632,Bangladesh,England,England,8 wickets,Nairobi (Gym),5-Oct-00,Zimbabwe,First,Second
ODI # 1633,Australia,India,India,20 runs,Nairobi (Gym),7-Oct-00,U.A.E.,First,Second
ODI # 1634,Pakistan,Sri Lanka,Pakistan,9 wickets,Nairobi (Gym),8-Oct-00,U.A.E.,Second,First
ODI # 1635,New Zealand,Zimbabwe,New Zealand,64 runs,Nairobi (Gym),9-Oct-00,Zimbabwe,First,Second
ODI # 1636,England,South Africa,South Africa,8 wickets,Nairobi (Gym),10-Oct-00,U.A.E.,First,Second
ODI # 1637,New Zealand,Pakistan,New Zealand,4 wickets,Nairobi (Gym),11-Oct-00,U.A.E.,First,Second
ODI # 1638,India,South Africa,India,95 runs,Nairobi (Gym),13-Oct-00,U.A.E.,First,Second
ODI # 1639,India,New Zealand,New Zealand,4 wickets,Nairobi (Gym),15-Oct-00,U.A.E.,First,Second
ODI # 1640,India,Sri Lanka,Sri Lanka,5 wickets,Sharjah,20-Oct-00,U.A.E.,Second,First
ODI # 1641,South Africa,New Zealand,no result,,Potchefstroom,20-Oct-00,West Indies,Second,First
ODI # 1642,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Sharjah,21-Oct-00,West Indies,First,Second
ODI # 1643,South Africa,New Zealand,South Africa,6 wickets,Benoni,22-Oct-00,West Indies,Second,First
ODI # 1644,India,Zimbabwe,India,13 runs,Sharjah,22-Oct-00,West Indies,First,Second
ODI # 1645,Pakistan,England,England,5 wickets,Karachi,24-Oct-00,West Indies,First,Second
ODI # 1646,Sri Lanka,Zimbabwe,Sri Lanka,123 runs,Sharjah,25-Oct-00,West Indies,Second,First
ODI # 1647,South Africa,New Zealand,South Africa,115 runs,Centurion,25-Oct-00,West Indies,Second,First
ODI # 1648,India,Zimbabwe,India,3 wickets,Sharjah,26-Oct-00,England,Second,First
ODI # 1649,Pakistan,England,Pakistan,8 wickets,Lahore,27-Oct-00,England,Second,First
ODI # 1650,India,Sri Lanka,Sri Lanka,68 runs,Sharjah,27-Oct-00,England,First,Second
ODI # 1651,South Africa,New Zealand,South Africa,5 wickets,Kimberley,28-Oct-00,England,Second,First
ODI # 1652,India,Sri Lanka,Sri Lanka,245 runs,Sharjah,29-Oct-00,England,Second,First
ODI # 1653,Pakistan,England,Pakistan,6 wickets,Rawalpindi,30-Oct-00,England,Second,First
ODI # 1654,South Africa,New Zealand,South Africa,6 wickets,Durban,1-Nov-00,England,First,Second
ODI # 1655,South Africa,New Zealand,South Africa,3 wickets,Cape Town,4-Nov-00,Zimbabwe,Second,First
ODI # 1656,India,Zimbabwe,India,3 wickets,Cuttack,2-Dec-00,England,Second,First
ODI # 1657,India,Zimbabwe,India,61 runs,Ahmedabad,5-Dec-00,Zimbabwe,First,Second
ODI # 1658,India,Zimbabwe,Zimbabwe,1 wicket,Jodhpur,8-Dec-00,Zimbabwe,First,Second
ODI # 1659,India,Zimbabwe,India,9 wickets,Kanpur,11-Dec-00,Zimbabwe,Second,First
ODI # 1660,India,Zimbabwe,India,39 runs,Rajkot,14-Dec-00,Zimbabwe,First,Second
ODI # 1661,South Africa,Sri Lanka,South Africa,4 wickets,Port Elizabeth,15-Dec-00,Zimbabwe,Second,First
ODI # 1662,South Africa,Sri Lanka,South Africa,95 runs,East London,17-Dec-00,Zimbabwe,Second,First
ODI # 1663,New Zealand,Zimbabwe,Zimbabwe,70 runs,Taupo,2-Jan-01,Sri Lanka,First,Second
ODI # 1664,New Zealand,Zimbabwe,New Zealand,8 wickets,Wellington,4-Jan-01,Sri Lanka,Second,First
ODI # 1665,New Zealand,Zimbabwe,Zimbabwe,1 wicket,Auckland,7-Jan-01,Sri Lanka,First,Second
ODI # 1666,South Africa,Sri Lanka,South Africa,8 wickets,Paarl,9-Jan-01,Sri Lanka,Second,First
ODI # 1667,Australia,West Indies,Australia,74 runs,Melbourne,11-Jan-01,Sri Lanka,Second,First
ODI # 1668,South Africa,Sri Lanka,South Africa,99 runs,Cape Town,11-Jan-01,Sri Lanka,First,Second
ODI # 1669,West Indies,Zimbabwe,West Indies,1 wicket,Brisbane,13-Jan-01,Sri Lanka,First,Second
ODI # 1670,Australia,West Indies,Australia,9 wickets,Brisbane,14-Jan-01,Sri Lanka,Second,First
ODI # 1671,South Africa,Sri Lanka,South Africa,5 wickets,Bloemfontein,14-Jan-01,Sri Lanka,Second,First
ODI # 1672,Australia,West Indies,Australia,28 runs,Sydney,17-Jan-01,Sri Lanka,First,Second
ODI # 1673,South Africa,Sri Lanka,Sri Lanka,4 runs,Johannesburg,17-Jan-01,Kenya,Second,First
ODI # 1674,Australia,Zimbabwe,Australia,8 wickets,Melbourne,21-Jan-01,Kenya,First,Second
ODI # 1675,West Indies,Zimbabwe,Zimbabwe,47 runs,Sydney,23-Jan-01,Kenya,First,Second
ODI # 1676,West Indies,Zimbabwe,West Indies,77 runs,Adelaide,25-Jan-01,Zimbabwe,Second,First
ODI # 1677,Australia,West Indies,Australia,10 wickets,Adelaide,26-Jan-01,Zimbabwe,Second,First
ODI # 1678,Australia,Zimbabwe,Australia,86 runs,Sydney,28-Jan-01,Zimbabwe,First,Second
ODI # 1679,Australia,Zimbabwe,Australia,6 wickets,Hobart,30-Jan-01,Zimbabwe,First,Second
ODI # 1680,New Zealand,Sri Lanka,Sri Lanka,61 runs,Napier,31-Jan-01,South Africa,Second,First
ODI # 1681,West Indies,Zimbabwe,West Indies,44 runs,Perth,2-Feb-01,Zimbabwe,First,Second
ODI # 1682,New Zealand,Sri Lanka,Sri Lanka,3 wickets,Wellington,3-Feb-01,Zimbabwe,First,Second
ODI # 1683,Australia,Zimbabwe,Australia,1 run,Perth,4-Feb-01,South Africa,Second,First
ODI # 1684,New Zealand,Sri Lanka,Sri Lanka,9 wickets,Auckland,6-Feb-01,Zimbabwe,Second,First
ODI # 1685,Australia,West Indies,Australia,134 runs,Sydney,7-Feb-01,South Africa,Second,First
ODI # 1686,New Zealand,Sri Lanka,Sri Lanka,3 runs,Hamilton,8-Feb-01,South Africa,Second,First
ODI # 1687,Australia,West Indies,Australia,39 runs,Melbourne,9-Feb-01,Zimbabwe,First,Second
ODI # 1688,New Zealand,Sri Lanka,New Zealand,13 runs,Christchurch,11-Feb-01,South Africa,Second,First
ODI # 1689,New Zealand,Pakistan,Pakistan,6 wickets,Auckland,"Feb 17-18, 2001",South Africa,Second,First
ODI # 1690,New Zealand,Pakistan,New Zealand,6 wickets,Napier,20-Feb-01,South Africa,First,Second
ODI # 1691,New Zealand,Pakistan,Pakistan,28 runs,Wellington,22-Feb-01,South Africa,First,Second
ODI # 1692,New Zealand,Pakistan,New Zealand,138 runs,Christchurch,25-Feb-01,South Africa,First,Second
ODI # 1693,New Zealand,Pakistan,New Zealand,4 wickets,Dunedin,28-Feb-01,U.A.E.,First,Second
ODI # 1694,Sri Lanka,England,Sri Lanka,5 wickets,Dambulla,23-Mar-01,South Africa,Second,First
ODI # 1695,Sri Lanka,England,Sri Lanka,66 runs,Colombo (RPS),25-Mar-01,U.A.E.,First,Second
ODI # 1696,India,Australia,India,60 runs,Bengaluru,25-Mar-01,U.A.E.,First,Second
ODI # 1697,Sri Lanka,England,Sri Lanka,10 wickets,Colombo (SSC),27-Mar-01,U.A.E.,First,Second
ODI # 1698,India,Australia,Australia,8 wickets,Pune,28-Mar-01,U.A.E.,First,Second
ODI # 1699,India,Australia,India,118 runs,Indore,31-Mar-01,U.A.E.,Second,First
ODI # 1700,India,Australia,Australia,93 runs,Visakhapatnam,3-Apr-01,U.A.E.,Second,First
ODI # 1701,India,Australia,Australia,4 wickets,Margao,6-Apr-01,Bangladesh,First,Second
ODI # 1702,Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare,7-Apr-01,Bangladesh,Second,First
ODI # 1703,Zimbabwe,Bangladesh,Zimbabwe,127 runs,Harare,8-Apr-01,Bangladesh,First,Second
ODI # 1704,Pakistan,Sri Lanka,Pakistan,16 runs,Sharjah,8-Apr-01,Sri Lanka,Second,First
ODI # 1705,New Zealand,Sri Lanka,Sri Lanka,106 runs,Sharjah,10-Apr-01,Sri Lanka,First,Second
ODI # 1706,Zimbabwe,Bangladesh,Zimbabwe,36 runs,Bulawayo,11-Apr-01,Sri Lanka,Second,First
ODI # 1707,New Zealand,Pakistan,Pakistan,8 wickets,Sharjah,12-Apr-01,Sri Lanka,First,Second
ODI # 1708,Pakistan,Sri Lanka,Pakistan,28 runs,Sharjah,13-Apr-01,Sri Lanka,Second,First
ODI # 1709,New Zealand,Pakistan,Pakistan,7 wickets,Sharjah,15-Apr-01,Sri Lanka,Second,First
ODI # 1710,New Zealand,Sri Lanka,New Zealand,79 runs,Sharjah,17-Apr-01,Sri Lanka,First,Second
ODI # 1711,Pakistan,Sri Lanka,Sri Lanka,77 runs,Sharjah,20-Apr-01,Australia,Second,First
ODI # 1712,West Indies,South Africa,West Indies,3 wickets,Kingston,28-Apr-01,Australia,First,Second
ODI # 1713,West Indies,South Africa,South Africa,8 wickets,St John's,2-May-01,Australia,Second,First
ODI # 1714,West Indies,South Africa,South Africa,132 runs,St George's,5-May-01,Australia,Second,First
ODI # 1715,West Indies,South Africa,South Africa,8 wickets,St George's,6-May-01,Australia,Second,First
ODI # 1716,West Indies,South Africa,South Africa,7 wickets,Bridgetown,9-May-01,India,First,Second
ODI # 1717,West Indies,South Africa,South Africa,53 runs,Port of Spain,12-May-01,Australia,First,Second
ODI # 1718,West Indies,South Africa,West Indies,6 wickets,Kingstown,16-May-01,Bangladesh,Second,First
ODI # 1719,England,Pakistan,Pakistan,108 runs,Birmingham,7-Jun-01,Australia,Second,First
ODI # 1720,Australia,Pakistan,Australia,7 wickets,Cardiff,9-Jun-01,India,Second,First
ODI # 1721,England,Australia,Australia,5 wickets,Bristol,10-Jun-01,Bangladesh,Second,First
ODI # 1722,England,Pakistan,Pakistan,2 runs,Lord's,12-Jun-01,Bangladesh,First,Second
ODI # 1723,England,Australia,Australia,125 runs,Manchester,14-Jun-01,India,Second,First
ODI # 1724,England,Pakistan,Pakistan,,Leeds,17-Jun-01,Australia,Second,First
ODI # 1725,Australia,Pakistan,Pakistan,36 runs,Nottingham,19-Jun-01,Australia,Second,First
ODI # 1726,England,Australia,Australia,8 wickets,The Oval,21-Jun-01,India,Second,First
ODI # 1727,Zimbabwe,West Indies,West Indies,27 runs,Harare,23-Jun-01,Australia,Second,First
ODI # 1728,Australia,Pakistan,Australia,9 wickets,Lord's,23-Jun-01,India,Second,First
ODI # 1729,Zimbabwe,India,India,9 wickets,Harare,24-Jun-01,Australia,Second,First
ODI # 1730,Zimbabwe,India,India,4 wickets,Bulawayo,27-Jun-01,Australia,First,Second
ODI # 1731,India,West Indies,India,6 wickets,Bulawayo,30-Jun-01,India,Second,First
ODI # 1732,Zimbabwe,West Indies,West Indies,5 wickets,Bulawayo,1-Jul-01,Australia,First,Second
ODI # 1733,India,West Indies,India,6 wickets,Harare,4-Jul-01,Australia,First,Second
ODI # 1734,India,West Indies,West Indies,16 runs,Harare,7-Jul-01,New Zealand,Second,First
ODI # 1735,Sri Lanka,New Zealand,Sri Lanka,16 runs,Colombo (RPS),18-Jul-01,U.A.E.,Second,First
ODI # 1736,India,New Zealand,New Zealand,84 runs,Colombo (RPS),20-Jul-01,U.A.E.,First,Second
ODI # 1737,Sri Lanka,India,Sri Lanka,6 runs,Colombo (RPS),22-Jul-01,New Zealand,First,Second
